"SubNum","SatNum","N2","N3","N1","W"
1,1,2,8,0,0
1,2,0,6,0,0
1,6,1,2,0,0
1,7,0,3,0,0
1,8,0,3,0,0
1,9,0,3,0,0
1,10,0,3,0,0
2,1,5,0,0,0
2,6,1,0,0,0
2,7,1,0,0,0
2,8,1,0,0,0
2,9,1,0,0,0
2,10,1,0,0,0
3,1,12,6,0,0
3,2,9,0,0,0
3,3,1,1,0,0
3,6,4,2,0,0
3,7,4,1,0,0
3,8,6,1,0,0
3,9,4,1,0,0
3,10,4,1,0,0
4,1,1,0,0,0
4,6,0,0,1,0
5,1,10,0,0,0
5,2,4,0,0,0
5,6,3,0,0,0
5,7,3,0,0,0
5,8,3,0,0,0
5,9,3,0,0,0
5,10,2,0,0,0
6,1,7,4,0,0
6,2,0,9,0,0
6,3,0,10,0,0
6,4,3,0,0,0
6,6,3,4,0,0
6,7,2,5,0,0
6,8,1,5,0,0
6,9,1,5,0,0
6,10,1,5,0,0
7,1,5,0,1,0
7,6,1,0,0,0
7,7,1,0,0,0
7,8,1,0,0,0
7,9,1,0,0,0
8,1,9,1,1,0
8,2,9,0,0,0
8,3,6,4,0,0
8,4,10,0,0,0
8,5,9,0,0,0
8,6,8,1,0,0
8,7,8,2,0,0
8,8,9,1,0,0
8,9,9,1,0,0
8,10,9,1,0,0
9,1,10,0,0,0
9,2,8,0,0,0
9,3,3,6,0,0
9,4,0,9,0,0
9,5,0,8,0,0
9,6,4,5,0,0
9,7,5,5,0,0
9,8,5,5,0,0
9,9,5,5,0,0
9,10,4,6,0,0
10,1,8,0,0,0
10,2,1,7,0,0
10,3,0,8,0,0
10,4,0,8,0,0
10,6,2,6,0,0
10,7,2,6,0,0
10,8,2,6,0,0
10,9,2,6,0,0
11,1,6,2,0,0
11,2,0,8,0,0
11,3,0,8,0,0
11,4,0,8,0,0
11,6,2,6,0,0
11,7,1,7,0,0
11,8,2,6,0,0
11,9,1,7,0,0
12,1,8,0,0,0
12,2,8,0,0,0
12,3,8,0,0,0
12,4,8,0,0,0
12,6,8,0,0,0
12,7,8,0,0,0
12,8,8,0,0,0
12,9,8,0,0,0
13,1,1,0,0,0
14,1,10,0,0,0
14,2,10,0,0,0
14,3,7,3,0,0
14,4,0,10,0,0
14,6,7,3,0,0
14,7,7,3,0,0
14,8,6,4,0,0
14,9,6,4,0,0
15,1,9,0,0,0
15,2,0,9,0,0
15,3,0,9,0,0
15,4,0,9,0,0
15,6,2,7,0,0
15,7,2,7,0,0
15,8,2,7,0,0
15,9,2,7,0,0
16,1,4,5,0,0
16,2,0,9,0,0
16,3,0,9,0,0
16,4,0,5,0,0
16,6,1,7,0,0
16,7,1,7,0,0
16,8,1,7,0,0
16,9,1,6,0,0
17,1,9,0,0,0
17,2,8,0,0,1
17,6,5,0,0,0
17,7,5,0,0,0
17,8,4,0,0,0
17,9,3,0,0,1
18,1,5,4,0,0
18,2,0,9,0,0
18,3,0,9,0,0
18,4,0,9,0,0
18,6,2,7,0,0
18,7,1,8,0,0
18,8,1,8,0,0
18,9,1,8,0,0
19,1,8,1,0,0
19,2,0,9,0,0
19,3,0,9,0,0
19,4,0,9,0,0
19,6,2,7,0,0
19,7,2,7,0,0
19,8,2,7,0,0
19,9,1,8,0,0
20,1,2,8,0,0
20,2,0,10,0,0
20,3,0,10,0,0
20,4,0,10,0,0
20,6,1,9,0,0
20,7,1,9,0,0
20,8,0,10,0,0
20,9,0,10,0,0
21,1,10,0,0,0
21,2,2,2,0,1
21,6,3,1,0,0
21,7,2,1,0,1
21,8,3,0,0,0
21,9,2,1,0,0
22,1,5,0,0,0
22,6,1,0,0,0
22,7,1,0,0,0
22,8,1,0,0,0
22,9,1,0,0,0
23,1,0,10,0,0
23,2,0,10,0,0
23,3,0,10,0,0
23,4,0,10,0,0
23,6,0,10,0,0
23,7,0,10,0,0
23,8,0,10,0,0
23,9,0,10,0,0
24,1,0,10,0,0
24,2,0,7,0,0
24,6,0,5,0,0
24,7,0,5,0,0
24,8,0,3,0,0
24,9,0,4,0,0
25,1,0,10,0,0
25,2,0,10,0,0
25,3,0,6,0,2
25,6,0,7,0,1
25,7,0,7,0,1
25,8,0,6,0,0
25,9,0,6,0,0
26,1,10,0,0,0
26,2,10,0,0,0
26,3,0,10,0,0
26,4,0,8,0,0
26,6,5,5,0,0
26,7,6,4,0,0
26,8,4,5,0,0
26,9,4,5,0,0
27,1,1,9,0,0
27,2,0,10,0,0
27,3,0,10,0,0
27,4,0,10,0,0
27,6,0,10,0,0
27,7,0,10,0,0
27,8,0,10,0,0
27,9,0,10,0,0
28,1,2,8,0,0
28,2,0,10,0,0
28,3,0,7,0,0
28,6,1,6,0,0
28,7,2,6,0,0
28,8,0,6,0,0
28,9,0,6,0,0
29,1,3,7,0,0
29,2,0,10,0,0
29,3,0,10,0,0
29,4,0,2,0,0
29,6,1,7,0,0
29,7,1,8,0,0
29,8,0,7,0,0
29,9,1,6,0,0
30,1,10,0,0,0
30,2,1,9,0,0
30,3,0,10,0,0
30,4,0,10,0,0
30,6,3,7,0,0
30,7,3,7,0,0
30,8,2,8,0,0
30,9,2,8,0,0
31,1,6,4,0,0
31,2,6,0,0,0
31,6,3,1,0,0
31,7,2,2,0,0
31,8,3,0,0,0
31,9,3,1,0,0
32,3,1,0,0,0
32,6,0,0,1,1
33,1,7,3,0,0
33,2,0,10,0,0
33,3,0,10,0,0
33,6,2,6,0,0
33,7,1,7,0,0
33,8,2,4,0,0
33,9,1,6,0,0
34,1,10,0,0,0
34,2,10,0,0,0
34,3,8,2,0,0
34,4,0,10,0,0
34,6,8,2,0,0
34,7,8,2,0,0
34,8,6,4,0,0
34,9,6,4,0,0
